sample_id,split,original_process,ai_process,rules,judge,hybrid,call_status
BLK/2017/page_77.pdf-2::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
C/2008/page_105.pdf-1::challenge,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
C/2008/page_105.pdf-1::clean,dev,correct,uncertain,correct,correct,correct,complete
C/2008/page_105.pdf-1::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
C/2009/page_195.pdf-2::challenge,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
C/2009/page_195.pdf-2::clean,test,correct,uncertain,correct,uncertain,uncertain,request_failed
C/2009/page_195.pdf-2::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
C/2015/page_314.pdf-1::challenge,dev,incorrect,incorrect,uncertain,incorrect,incorrect,complete
C/2015/page_314.pdf-1::clean,dev,correct,correct,correct,correct,correct,complete
C/2015/page_314.pdf-1::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
CB/2008/page_218.pdf-2::challenge,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
CB/2008/page_218.pdf-2::clean,test,correct,correct,correct,correct,correct,complete
CB/2008/page_218.pdf-2::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
CE/2009/page_121.pdf-2::challenge,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
CE/2009/page_121.pdf-2::clean,test,correct,correct,correct,uncertain,uncertain,request_failed
CE/2009/page_121.pdf-2::local,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
CME/2017/page_99.pdf-4::challenge,test,incorrect,incorrect,uncertain,uncertain,uncertain,request_failed
CME/2017/page_99.pdf-4::clean,test,correct,correct,correct,uncertain,uncertain,request_failed
CME/2017/page_99.pdf-4::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
DRE/2016/page_64.pdf-3::challenge,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
DRE/2016/page_64.pdf-3::clean,test,correct,incorrect,correct,correct,correct,complete
DRE/2016/page_64.pdf-3::local,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
ETR/2017/page_422.pdf-2::challenge,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
ETR/2017/page_422.pdf-2::clean,test,correct,correct,correct,correct,correct,complete
ETR/2017/page_422.pdf-2::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
GS/2012/page_177.pdf-3::challenge,test,incorrect,incorrect,uncertain,incorrect,incorrect,complete
GS/2012/page_177.pdf-3::clean,test,correct,correct,correct,correct,correct,complete
GS/2012/page_177.pdf-3::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
INTC/2018/page_105.pdf-2::challenge,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
INTC/2018/page_105.pdf-2::clean,test,correct,correct,correct,correct,correct,complete
INTC/2018/page_105.pdf-2::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
IQV/2018/page_106.pdf-1::challenge,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
IQV/2018/page_106.pdf-1::clean,dev,correct,correct,correct,correct,correct,complete
IQV/2018/page_106.pdf-1::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
JPM/2009/page_183.pdf-3::challenge,test,incorrect,incorrect,uncertain,incorrect,incorrect,complete
JPM/2009/page_183.pdf-3::clean,test,correct,correct,correct,correct,correct,complete
JPM/2009/page_183.pdf-3::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
MRO/2013/page_23.pdf-4::challenge,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
MRO/2013/page_23.pdf-4::clean,test,correct,uncertain,correct,correct,correct,complete
MRO/2013/page_23.pdf-4::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
MSI/2008/page_73.pdf-2::challenge,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
MSI/2008/page_73.pdf-2::clean,test,correct,correct,correct,uncertain,uncertain,request_failed
MSI/2008/page_73.pdf-2::local,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
PNC/2013/page_205.pdf-1::challenge,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
PNC/2013/page_205.pdf-1::clean,test,correct,correct,correct,correct,correct,complete
PNC/2013/page_205.pdf-1::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
PPG/2006/page_22.pdf-1::challenge,dev,incorrect,incorrect,uncertain,incorrect,incorrect,complete
PPG/2006/page_22.pdf-1::clean,dev,correct,uncertain,correct,correct,correct,complete
PPG/2006/page_22.pdf-1::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
PPG/2010/page_45.pdf-2::challenge,test,incorrect,incorrect,uncertain,incorrect,incorrect,complete
PPG/2010/page_45.pdf-2::clean,test,correct,correct,correct,correct,correct,complete
PPG/2010/page_45.pdf-2::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
RCL/2016/page_37.pdf-2::challenge,dev,incorrect,incorrect,uncertain,incorrect,incorrect,complete
RCL/2016/page_37.pdf-2::clean,dev,correct,correct,correct,correct,correct,complete
RCL/2016/page_37.pdf-2::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
UNP/2008/page_83.pdf-1::challenge,test,incorrect,incorrect,uncertain,incorrect,incorrect,complete
UNP/2008/page_83.pdf-1::clean,test,correct,correct,correct,uncertain,uncertain,request_failed
UNP/2008/page_83.pdf-1::local,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
UNP/2010/page_55.pdf-1::challenge,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
UNP/2010/page_55.pdf-1::clean,test,correct,correct,correct,uncertain,uncertain,request_failed
UNP/2010/page_55.pdf-1::local,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
UNP/2013/page_25.pdf-2::challenge,test,incorrect,incorrect,uncertain,incorrect,incorrect,complete
UNP/2013/page_25.pdf-2::clean,test,correct,uncertain,correct,correct,correct,complete
UNP/2013/page_25.pdf-2::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
WRK/2018/page_39.pdf-5::challenge,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
WRK/2018/page_39.pdf-5::clean,dev,correct,incorrect,correct,correct,correct,complete
WRK/2018/page_39.pdf-5::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
